Rank,RelevanceScore,SuggestedSection,Title,Authors,Year,Venue,Citations,Source,Cluster,DOI,URL,Abstract
196,17.0,RW:KnowledgeDistillation,Semantic Segmentation-Driven Knowledge Distillation-Based Infrared Visible Image Fusion Framework,Xingshuo Wang,2025,IEEE Access,1,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/ACCESS.2025.3566436,https://www.semanticscholar.org/paper/c723cb5a9cf26c4e467dbd6b8522587d3caa4aa6,"The goal of infrared and visible image fusion is to generate a fused image that integrates both prominent targets and fine textures. However, many existing fusion algorithms overly emphasize visual quality and traditional statistical evaluation metrics while neglecting the requirements of real-world applications, especially in high-level vision tasks. To address this issue, this paper proposes a s..."
197,17.0,General,KVNN: Learnable Multi-Kernel Volterra Neural Networks,Haoyu Yun; Hamid Krim; Yufang Bao,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.15141v1,"Higher-order learning is fundamentally rooted in exploiting compositional features. It clearly hinges on enriching the representation by more elaborate interactions of the data which, in turn, tends to increase the model complexity of conventional large-scale deep learning models. In this paper, a kernelized Volterra Neural Network (kVNN) is proposed. The key to the achieved efficiency lies in usi..."
198,17.0,General,Layered Mutability: Continuity and Governance in Persistent Self-Modifying Agents,Krti Tallam,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14717v1,"Persistent language-model agents increasingly combine tool use, tiered memory, reflective prompting, and runtime adaptation. In such systems, behavior is shaped not only by current prompts but by mutable internal conditions that influence future action. This paper introduces layered mutability, a framework for reasoning about that process across five layers: pretraining, post-training alignment, s..."
199,17.0,RW:KnowledgeDistillation,Explainable Knowledge Distillation for Efficient Medical Image Classification,Aqib Nazir Mir; Danish Raza Rizvi,2025,arXiv.org,0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.48550/arXiv.2508.15251,https://www.semanticscholar.org/paper/4678d85387b03081b8e0de4b7d95ef02a7a428f1,"This study comprehensively explores knowledge distillation frameworks for COVID-19 and lung cancer classification using chest X-ray (CXR) images. We employ high-capacity teacher models, including VGG19 and lightweight Vision Transformers (Visformer-S and AutoFormer-V2-T), to guide the training of a compact, hardware-aware student model derived from the OFA-595 supernet. Our approach leverages hybr..."
200,17.0,RW:KnowledgeDistillation,Efficient Segmentation of Solar Panel Defects Using Knowledge Distillation,Shahd Tarek; Ali Hamdi; K. Shaban,2025,ACS/IEEE International Conference on Computer Systems and Applications,0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/AICCSA66935.2025.11315428,https://www.semanticscholar.org/paper/deba30b4773604e6275dddedcadf2bf78182442e,"Efficient identification of anomalies in solar panels is essential for ensuring optimal energy generation and long-term system reliability. This work introduces a two-stage automated framework leveraging drone-captured infrared imagery to detect and segment common defects such as hotspots, dirt accumulation, and shadowing. In the first stage, multiple YOLO-based detection models were evaluated to ..."
201,16.6,RW:KnowledgeDistillation,Efficient Deep-Detector Image Quality Assessment Based on Knowledge Distillation,Won-Yong Lee; Gary Gold; Jang-Hwan Choi,2024,IEEE Transactions on Instrumentation and Measurement,4,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/TIM.2023.3346519,https://www.semanticscholar.org/paper/e45599e261ef2b9d084145af88196c76c81f43b9,"An efficient deep-detector image quality assessment (EDIQA) is proposed to address the need for an objective and efficient medical image quality assessment (IQA) without requiring reference images or ground-truth scores from expert radiologists. Existing methods encounter limitations in meeting diagnostic quality and computation efficiency, especially when reference images are unavailable. The pro..."
202,16.5,RW:KnowledgeDistillation,Optimizing knowledge distillation for efficient breast ultrasound image segmentation: Insights and performance enhancement,Bahareh Behboodi; Rupert Brooks; Hassan Rivaz,2024,Artificial Intelligence in Health,1,Semantic Scholar,knowledge_distillation_medical_segmentation,10.36922/aih.3509,https://www.semanticscholar.org/paper/8b1f4149766b14fef83343f70d8e1e315678002e,"Most modern models designed for ultrasound (US) image segmentation are characterized by high computational and memory requirements, limiting their practical utility in point-of-care US settings. Consequently, researchers have devised innovative approaches to compress these large models, enabling the training of smaller networks capable of achieving comparable generalization performance. Among thes..."
203,16.4,"RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",Graph Flow: Cross-Layer Graph Flow Distillation for Dual Efficient Medical Image Segmentation,Wen Zou; Xingqun Qi; Wanting Zhou; Muyi Sun,2022,IEEE Transactions on Medical Imaging,21,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/TMI.2022.3224459,https://www.semanticscholar.org/paper/711c30df0da9118994415b2eb15abb74cc2338ff,"With the development of deep convolutional neural networks, medical image segmentation has achieved a series of breakthroughs in recent years. However, high-performance convolutional neural networks always mean numerous parameters and high computation costs, which will hinder the applications in resource-limited medical scenarios. Meanwhile, the scarceness of large-scale annotated medical image da..."
204,16.0,General,One-shot segmentation of novel white matter tracts via extensive data augmentation and adaptive knowledge transfer.,Wan Liu; Zhizheng Zhuo; Yaou Liu; Chuyang Ye,2023,Medical image analysis,0,PubMed,masked_image_modeling_medical,10.1016/j.media.2023.102968,https://pubmed.ncbi.nlm.nih.gov/37729793/,"The use of convolutional neural networks (CNNs) has allowed accurate white matter (WM) tract segmentation on diffusion magnetic resonance imaging (dMRI). To train the CNN-based segmentation models, a large number of scans on which WM tracts are annotated need to be collected, and these annotated scans can be accumulated over a long period of time. However, when novel WM tracts that are different f..."
205,15.5,General,Generalization in LLM Problem Solving: The Case of the Shortest Path,Yao Tong; Jiayuan Ye; Anastasia Borovykh; Reza Shokri,2026,arXiv,0,arXiv,sequential_organ_segmentation,N/A,http://arxiv.org/abs/2604.15306v1,"Whether language models can systematically generalize remains actively debated. Yet empirical performance is jointly shaped by multiple factors such as training data, training paradigms, and inference-time strategies, making failures difficult to interpret. We introduce a controlled synthetic environment based on shortest-path planning, a canonical composable sequential optimization problem. The s..."
206,15.5,General,Lightweight Real-Time ALADIN for Distributed Optimization,Yifei Wang; Xuhui Feng; Shimin Pan; Liangfan Zhu,2026,arXiv,0,arXiv,sequential_organ_segmentation,N/A,http://arxiv.org/abs/2604.15176v1,"This paper presents a real-time computational framework for multi-node distributed optimization by extending the Augmented Lagrangian Alternating Direction Inexact Newton (ALADIN) algorithm. Our approach integrates adjoint sequential quadratic programming (SQP) techniques to enable efficient approximation of Jacobian information within the ALADIN embedded quadratic program, thereby reducing commun..."
207,15.5,RW:FederatedLearning,No More Guessing: a Verifiable Gradient Inversion Attack in Federated Learning,Francesco Diana; Chuan Xu; André Nusser; Giovanni Neglia,2026,arXiv,0,arXiv,federated_ssl_medical_forgetting,N/A,http://arxiv.org/abs/2604.15063v1,"Gradient inversion attacks threaten client privacy in federated learning by reconstructing training samples from clients' shared gradients. Gradients aggregate contributions from multiple records and existing attacks may fail to disentangle them, yielding incorrect reconstructions with no intrinsic way to certify success. In vision and language, attackers may fall back on human inspection to judge..."
208,15.4,RW:KnowledgeDistillation,HDKD: Hybrid Data-Efficient Knowledge Distillation Network for Medical Image Classification,Omar S. El-Assiouti; Ghada Hamed; Dina Khattab; H. M. Ebied,2024,Engineering applications of artificial intelligence,18,Semantic Scholar,knowledge_distillation_medical_segmentation,10.48550/arXiv.2407.07516,https://www.semanticscholar.org/paper/523c437a5662357b78c3b54b495137297280ad58,"Vision Transformers (ViTs) have achieved significant advancement in computer vision tasks due to their powerful modeling capacity. However, their performance notably degrades when trained with insufficient data due to lack of inherent inductive biases. Distilling knowledge and inductive biases from a Convolutional Neural Network (CNN) teacher has emerged as an effective strategy for enhancing the ..."
209,15.1,"RW:Architecture, RW:KnowledgeDistillation",Reinforced Multi-teacher Knowledge Distillation for Efficient General Image Forgery Detection and Localization,Zeqin Yu; Jiangqun Ni; Jian Zhang; Haoyi Deng,2025,AAAI Conference on Artificial Intelligence,5,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1609/aaai.v39i1.32085,https://www.semanticscholar.org/paper/475a49cd0f404b9f8e7e939cb53b50e07df3030e,"Image forgery detection and localization (IFDL) is of vital importance as forged images can spread misinformation that poses potential threats to our daily life. However, previous methods still struggled to effectively handle forged images processed with diverse forgery operations in real-world scenarios. In this paper, we propose a novel Reinforced Multi-teacher Knowledge Distillation (Re-MTKD) f..."
210,14.3,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Towards Efficient Medical Image Segmentation Via Boundary-Guided Knowledge Distillation,Yang Wen; Leiting Chen; Shuo Xi; Yu Deng,2021,IEEE International Conference on Multimedia and Expo,15,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/ICME51207.2021.9428395,https://www.semanticscholar.org/paper/0c6d66b2d52411026a13196f28ef26ce37a427d3,"In recent years, knowledge distillation for semantic segmentation has been extensively studied in order to obtain satisfactory performance while reducing computational costs. Compared with natural images, segmentation targets in medical images have fuzzy boundaries that are difficult to determine, but current knowledge distillation methods fail to explicitly transfer boundary information, resultin..."
211,14.1,"RW:KnowledgeDistillation, RW:MedicalSegmentation",AAWS-Net: Anatomy-aware weakly-supervised learning network for breast mass segmentation,Yeheng Sun; Yu Ji,2021,PLoS ONE,4,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1371/journal.pone.0256830,https://www.semanticscholar.org/paper/c05ec3abd3442f577a5aad46e0b36e1bb2885e5e,"Accurate segmentation of breast masses is an essential step in computer aided diagnosis of breast cancer. The scarcity of annotated training data greatly hinders the model’s generalization ability, especially for the deep learning based methods. However, high-quality image-level annotations are time-consuming and cumbersome in medical image analysis scenarios. In addition, a large amount of weak a..."
212,14.0,General,Deep learning framework for prediction of infection severity of COVID-19.,Mehdi Yousefzadeh; Masoud Hasanpour; Mozhdeh Zolghadri; Fatemeh Salimi,2022,Frontiers in medicine,0,PubMed,masked_image_modeling_medical,10.3389/fmed.2022.940960,https://pubmed.ncbi.nlm.nih.gov/36059818/,"With the onset of the COVID-19 pandemic, quantifying the condition of positively diagnosed patients is of paramount importance. Chest CT scans can be used to measure the severity of a lung infection and the isolate involvement sites in order to increase awareness of a patient's disease progression. In this work, we developed a deep learning framework for lung infection severity prediction. To this..."
213,14.0,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Efficient Medical Image Segmentation Based on Knowledge Distillation.,Dian Qin; Jia-Jun Bu; Zhe Liu; Xin Shen,2021,IEEE transactions on medical imaging,0,PubMed,knowledge_distillation_medical_segmentation,10.1109/TMI.2021.3098703,https://pubmed.ncbi.nlm.nih.gov/34283713/,"Recent advances have been made in applying convolutional neural networks to achieve more precise prediction results for medical image segmentation problems. However, the success of existing methods has highly relied on huge computational complexity and massive storage, which is impractical in the real-world scenario. To deal with this problem, we propose an efficient architecture by distilling kno..."
214,14.0,RW:KnowledgeDistillation,Efficient knowledge distillation for liver CT segmentation using growing assistant network.,Pengcheng Xu; Kyungsang Kim; Jeongwan Koh; Dufan Wu,2021,Physics in medicine and biology,0,PubMed,knowledge_distillation_medical_segmentation,10.1088/1361-6560/ac3935,https://pubmed.ncbi.nlm.nih.gov/34768246/,"Segmentation has been widely used in diagnosis, lesion detection, and surgery planning. Although deep learning (DL)-based segmentation methods currently outperform traditional methods, most DL-based segmentation models are computationally expensive and memory inefficient, which are not suitable for the intervention of liver surgery. To address this issue, a simple solution is to make a segmentatio..."
215,14.0,"RW:KnowledgeDistillation, RW:MedicalSegmentation",AAWS-Net: Anatomy-aware weakly-supervised learning network for breast mass segmentation.,Yeheng Sun; Yule Ji,2021,PloS one,0,PubMed,knowledge_distillation_medical_segmentation,10.1371/journal.pone.0256830,https://pubmed.ncbi.nlm.nih.gov/34460852/,"Accurate segmentation of breast masses is an essential step in computer aided diagnosis of breast cancer. The scarcity of annotated training data greatly hinders the model's generalization ability, especially for the deep learning based methods. However, high-quality image-level annotations are time-consuming and cumbersome in medical image analysis scenarios. In addition, a large amount of weak a..."
216,14.0,RW:FederatedLearning,FedIDM: Achieving Fast and Stable Convergence in Byzantine Federated Learning through Iterative Distribution Matching,He Yang; Dongyi Lv; Wei Xi; Song Ma,2026,arXiv,0,arXiv,federated_ssl_medical_forgetting,N/A,http://arxiv.org/abs/2604.15115v1,"Most existing Byzantine-robust federated learning (FL) methods suffer from slow and unstable convergence. Moreover, when handling a substantial proportion of colluded malicious clients, achieving robustness typically entails compromising model utility. To address these issues, this work introduces FedIDM, which employs distribution matching to construct trustworthy condensed data for identifying a..."
217,13.0,RW:KnowledgeDistillation,Multi-Channel Knowledge Distillation via Efficient Feature Fusion Module for Anomaly Segmentation,You Zhou; Zihao Huang; Deyu Zeng; Zongze Wu,2023,ACM Cloud and Autonomic Computing Conference,1,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/CAC59555.2023.10451795,https://www.semanticscholar.org/paper/300f1c1d0ba38f9ab0d9b114557af3b7f0af400d,"Unsupervised image anomaly detection and segmentation algorithms hold significant importance in enhancing product quality in real-world industrial manufacturing. Anomaly detection methods based on the knowledge distillation framework perform detection by characterizing differences between anomalous samples. However, knowledge distillation-based anomaly detection methods often employ similar or ide..."
218,13.0,General,SimpleClick: Interactive Image Segmentation with Simple Vision Transformers.,Qin Liu; Zhenlin Xu; Gedas Bertasius; Marc Niethammer,2023,Proceedings. IEEE International Conference on Computer Vision,0,PubMed,masked_image_modeling_medical,10.1109/iccv51070.2023.02037,https://pubmed.ncbi.nlm.nih.gov/39247160/,Click-based interactive image segmentation aims at extracting objects with a limited user clicking. A hierarchical backbone is the 
219,12.0,RW:KnowledgeDistillation,Uncertainty-Aware Dual-Student Knowledge Distillation for Efficient Image Classification,Aakash Gore; Anoushka Dey; Aryan Mishra,2025,arXiv.org,0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.48550/arXiv.2511.18826,https://www.semanticscholar.org/paper/c161f25d2378aa990e8afdc7519f49ee70fbd34c,"Knowledge distillation has emerged as a powerful technique for model compression, enabling the transfer of knowledge from large teacher networks to compact student models. However, traditional knowledge distillation methods treat all teacher predictions equally, regardless of the teacher's confidence in those predictions. This paper proposes an uncertainty-aware dual-student knowledge distillation..."
