Rank,RelevanceScore,SuggestedSection,Title,Authors,Year,Venue,Citations,Source,Cluster,DOI,URL,Abstract
130,23.5,"RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",Dynamic Co-Evolution Mechanism and Multi-View Collaborative Distillation Optimization for Semi-Supervised Medical Image Segmentation,Haoyu Yin; Jing Hu,2025,IEEE International Conference on Bioinformatics and Biomedicine,0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/BIBM66473.2025.11356546,https://www.semanticscholar.org/paper/51fbaa6d135d6047e1987c64500c20cab807664c,"Despite the ability of semi-supervised medical image segmentation to achieve superior results with limited labeled data and extensive unlabeled data, prevailing methods encounter a significant challenge: the detrimental cycle of pseudo-label noise resulting in model bias and error accumulation, which ultimately degrades performance. In this paper, we propose a differential teacher dynamic co-evolu..."
131,23.5,"RW:SelfSupervisedLearning, RW:KnowledgeDistillation",M,Nana Jia; Tong Jia; Zhiao Zhang; Yanchao Zhang,2025,Neural networks : the official journal of the International Neural Network Society,0,PubMed,knowledge_distillation_medical_segmentation,10.1016/j.neunet.2025.107811,https://pubmed.ncbi.nlm.nih.gov/40694894/,"Patients with carotid atherosclerosis are at risk for cardiovascular disease, which may lead to death. The use of ultrasound image and clinical tabular data to predict the survival of patients is of great value for the treatment and prevention of cardiovascular disease. However, there are two main challenges in survival prediction of patient carotid atherosclerosis: (1) how to effectively fuse ult..."
132,23.5,"RW:KnowledgeDistillation, RW:MedicalSegmentation","Enhancing efficient deep learning models with multimodal, multi-teacher insights for medical image segmentation.",Khondker Fariha Hossain; Sharif Amit Kamran; Joshua Ong; Alireza Tavakkoli,2025,Scientific reports,0,PubMed,knowledge_distillation_medical_segmentation,10.1038/s41598-025-91430-0,https://pubmed.ncbi.nlm.nih.gov/40335579/,"The rapid evolution of deep learning has dramatically enhanced the field of medical image segmentation, leading to the development of models with unprecedented accuracy in analyzing complex medical images. Deep learning-based segmentation holds significant promise for advancing clinical care and enhancing the precision of medical interventions. However, these models' high computational demand and ..."
133,23.0,"RW:Architecture, RW:KnowledgeDistillation, RW:MedicalSegmentation",Research on Lightweight Spine X-ray Image Segmentation Algorithm Based on Knowledge Distillation,Dong Qing; Li Qi,2024,International Conference on Bioinformatics and Intelligent Computing,1,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1145/3665689.3665713,https://www.semanticscholar.org/paper/875aad47159849a536e69d0d73bb08c8e70a6c40,"Spinal X-ray images find crucial roles in medical image processing, enabling precise spinal structure localization, detecting ischemia or lesions, and aiding surgical planning for clinical diagnosis and treatment. Rapid and accurate image segmentation, a vital aspect, saves significant time and effort for medical professionals. Knowledge distillation, a model compression technique, transfers insig..."
134,23.0,"RW:SelfSupervisedLearning, RW:Architecture, RW:KnowledgeDistillation, RW:MedicalSegmentation",A Medical Image Segmentation Method Combining Knowledge Distillation and Contrastive Learning,Xiaoxuan Ma Xiaoxuan Ma; Sihan Shan Xiaoxuan Ma; Dong Sui Sihan Shan,2024,電腦學刊,1,Semantic Scholar,knowledge_distillation_medical_segmentation,10.53106/199115992024063503024,https://www.semanticscholar.org/paper/a5fbf342b1379974de56b1ce911d7405ea9ba4cc,"
 Recent advances in feature-based knowledge distillation have shown promise in computer vision, yet their direct application to medical image segmentation has been challenging due to the inherent high intra-class variance and class imbalance prevalent in medical images. This paper introduces a novel approach that synergizes knowledge distillation with contrastive learning to enhance the performan..."
135,23.0,RW:Architecture,Comparative Analysis of nnUNet and MedNeXt for Head and Neck Tumor Segmentation in MRI-Guided Radiotherapy.,Nikoo Moradi; André Ferreira; Behrus Puladi; Jens Kleesiek,2025,"Head and Neck Tumor Segmentation for MR-Guided Applications : First MICCAI Challenge, HNTS-MRG 2024, held in conjunction with MICCAI 2024, Marrakesh, Morocco, October 17, 2024, proceedings",0,PubMed,masked_image_modeling_medical,10.1007/978-3-031-83274-1_10,https://pubmed.ncbi.nlm.nih.gov/40213035/,"Radiation therapy (RT) is essential in treating head and neck cancer (HNC), with magnetic resonance imaging (MRI)-guided RT offering superior soft tissue contrast and functional imaging. However, manual tumor segmentation is time-consuming and complex, and therefore remains a challenge. In this study, we present our solution as team TUMOR to the HNTS-MRG24 MICCAI Challenge which is focused on auto..."
136,23.0,RW:MedicalSegmentation,Polyp-DDPM: Diffusion-Based Semantic Polyp Synthesis for Enhanced Segmentation.,Zolnamar Dorjsembe; Hsing-Kuo Pao; Furen Xiao,2024,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,0,PubMed,masked_image_modeling_medical,10.1109/EMBC53108.2024.10782077,https://pubmed.ncbi.nlm.nih.gov/40039822/,"This study introduces Polyp-DDPM, a diffusion-based method for generating realistic images of polyps conditioned on masks, aimed at enhancing the segmentation of gastrointestinal (GI) tract polyps. Our approach addresses the challenges of data limitations, high annotation costs, and privacy concerns associated with medical images. By conditioning the diffusion model on segmentation masks-binary ma..."
137,23.0,General,Two-view topogram-based anatomy-guided CT reconstruction for prospective risk minimization.,Chang Liu; Laura Klein; Yixing Huang; Edith Baader,2024,Scientific reports,0,PubMed,masked_image_modeling_medical,10.1038/s41598-024-59731-y,https://pubmed.ncbi.nlm.nih.gov/38653993/,"To facilitate a prospective estimation of the effective dose of an CT scan prior to the actual scanning in order to use sophisticated patient risk minimizing methods, a prospective spatial dose estimation and the known anatomical structures are required. To this end, a CT reconstruction method is required to reconstruct CT volumes from as few projections as possible, i.e. by using the topograms, w..."
138,22.6,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Knowledge Distillation from Cross Teaching Teachers for Efficient Semi-Supervised Abdominal Organ Segmentation in CT,J. Choi,2022,FLARE@MICCAI,5,Semantic Scholar,knowledge_distillation_medical_segmentation,10.48550/arXiv.2211.05942,https://www.semanticscholar.org/paper/ed0dda3c21d222a0f416364a5b3ac867163e55f6,". For more clinical applications of deep learning models for medical image segmentation, high demands on labeled data and computational resources must be addressed. This study proposes a coarse-to-ﬁne framework with two teacher models and a student model that combines knowledge distillation and cross teaching, a consistency regularization based on pseudo-labels, for eﬃcient semi-supervised learnin..."
139,22.5,"RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",Medical Image Segmentation Approach via Transformer Knowledge Distillation,Tianshu Zhang; Hao Wang; K. Lam; Chi-Yin Chow,2023,CVIPPR,2,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1145/3596286.3596292,https://www.semanticscholar.org/paper/d04fc1c0ebafc67b9fc93ce0e8d5ab340f5f6699,"Numerous transformer-based medical image segmentation methods have been proposed and achieved good segmentation results. However, it is still a challenge to train and deploy transformer networks to mobile medical devices due to a large number of model parameters. To resolve the training and model parameter problems, in this paper, we propose a Transformer-based network for Medical Image Segmentati..."
